Global absolute abundance estimations for all proteins identified in dataset 2 (see supplemental Figure 4 for dataset details)																																																																							
						Protein copies/cell																						Protein Mass (fg) / Cell																						Coefficient of Variance (%) Between Biological Triplicates																					
P27838	Protein CyaY OS=Escherichia coli (strain K12) GN=cyaY PE=1 SV=1	cyaY	2	107.66	12205.80259	198	178	121	102	92	105	95	103	103	74	44	50	17	48	141	81	105	77	112	45	80	144	4.01E-03	3.61E-03	2.45E-03	2.07E-03	1.87E-03	2.12E-03	1.94E-03	2.10E-03	2.09E-03	1.49E-03	8.99E-04	1.02E-03	3.47E-04	9.74E-04	2.87E-03	1.64E-03	2.13E-03	1.56E-03	2.28E-03	9.14E-04	1.63E-03	2.91E-03	26.58	9.90	35.38	19.04	6.54	45.00	17.01	16.27	6.24	22.64	14.91	10.09	14.07	32.78	36.48	42.38	60.20	29.05	10.23	24.67	27.95	30.88
P37671	HTH-type transcriptional regulator yiaJ OS=Escherichia coli (strain K12) GN=yiaJ PE=1 SV=1	yiaJ	2	92.26	31028.83427	91	51	54	69	67	72	70	48	86	51	45	39	8	19	68	65	67	84	72	45	55	70	4.68E-03	2.62E-03	2.79E-03	3.55E-03	3.45E-03	3.72E-03	3.60E-03	2.49E-03	4.43E-03	2.65E-03	2.29E-03	2.01E-03	4.25E-04	9.68E-04	3.51E-03	3.37E-03	3.47E-03	4.31E-03	3.70E-03	2.31E-03	2.85E-03	3.63E-03	7.39	19.66	4.19	6.41	11.22	9.86	6.96	13.78	14.05	19.55	15.18	8.73	53.43	23.79	9.00	78.99	19.93	19.97	12.46	16.30	9.18	16.13
P0AA57	Protein YobA OS=Escherichia coli (strain K12) GN=yobA PE=1 SV=1	yobA	2	41.7	13383.99032	180	106	25	120	58	30	78	113	45	34	22	21	11	41	165	135	179	97	87	38	42	150	4.00E-03	2.36E-03	5.64E-04	2.66E-03	1.29E-03	6.71E-04	1.74E-03	2.50E-03	9.89E-04	7.62E-04	4.81E-04	4.73E-04	2.55E-04	9.08E-04	3.66E-03	2.99E-03	3.99E-03	2.15E-03	1.93E-03	8.53E-04	9.39E-04	3.33E-03	34.07	13.70	58.08	7.54	43.98	42.44	21.32	9.93	23.34	58.36	12.23	47.23	18.75	2.04	41.08	48.80	7.79	34.06	22.83	28.42	39.39	3.74
P05041	Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1	pabB	2	70.11	50919.63501	36	45	39	12	16	20	18	15	14	11	7	6	11	10	51	46	32	37	17	10	17	23	3.02E-03	3.78E-03	3.29E-03	1.01E-03	1.34E-03	1.73E-03	1.52E-03	1.25E-03	1.22E-03	9.25E-04	6.11E-04	5.45E-04	9.33E-04	8.77E-04	4.29E-03	3.88E-03	2.68E-03	3.12E-03	1.41E-03	8.65E-04	1.42E-03	1.95E-03	13.37	14.96	26.59	9.19	11.69	5.31	16.49	19.56	3.55	10.07	36.80	7.23	33.68	8.60	19.01	8.67	9.65	19.56	12.58	18.19	20.15	4.62
P18390	Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3	yjjA	2	89.46	17323.79744	211	400	255	114	196	190	224	205	143	132	114	111	79	29	271	247	292	224	178	178	181	206	6.07E-03	1.15E-02	7.34E-03	3.28E-03	5.63E-03	5.46E-03	6.45E-03	5.90E-03	4.12E-03	3.81E-03	3.29E-03	3.21E-03	2.26E-03	8.41E-04	7.80E-03	7.12E-03	8.41E-03	6.44E-03	5.11E-03	5.12E-03	5.19E-03	5.92E-03	25.72	10.49	56.25	1.24	12.83	11.88	3.25	12.93	7.38	22.34	16.50	19.00	65.11	62.31	19.92	52.33	4.84	33.36	5.97	6.60	8.28	17.30
P0AC23	Probable formate transporter 1 OS=Escherichia coli (strain K12) GN=focA PE=1 SV=1	focA	2	112.55	30951.9479	26	46	40	38	38	35	34	38	52	66	68	66	22	16	28	30	36	24	56	44	43	34	1.34E-03	2.34E-03	2.08E-03	1.95E-03	1.96E-03	1.82E-03	1.77E-03	1.97E-03	2.67E-03	3.37E-03	3.49E-03	3.37E-03	1.15E-03	8.38E-04	1.45E-03	1.56E-03	1.87E-03	1.24E-03	2.86E-03	2.27E-03	2.21E-03	1.74E-03	5.84	14.30	24.53	11.89	23.33	42.46	7.12	28.32	17.39	16.97	28.63	5.50	46.11	12.56	85.83	4.54	19.30	12.70	8.38	13.77	20.67	39.62
P37615	Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1	yhhM	2	112.27	13470.02868	60	76	45	40	51	68	49	47	50	48	59	65	30	37	59	98	97	33	44	46	32	38	1.35E-03	1.70E-03	9.97E-04	8.88E-04	1.13E-03	1.53E-03	1.10E-03	1.05E-03	1.11E-03	1.07E-03	1.31E-03	1.45E-03	6.66E-04	8.26E-04	1.31E-03	2.19E-03	2.16E-03	7.40E-04	9.79E-04	1.02E-03	7.22E-04	8.47E-04	8.67	3.13	43.00	8.31	13.61	3.47	2.84	16.49	4.24	4.26	2.64	11.09	48.79	46.50	24.91	11.53	33.00	22.08	9.41	32.20	16.77	10.24
P77712	Long-chain acyl-CoA thioesterase tesC OS=Escherichia coli (strain K12) GN=tesC PE=1 SV=1	fadM	2	81.7	15060.84544	13	16	12	130	121	63	69	54	79	111	124	115	45	32	38	35	13	13	71	104	81	23	3.16E-04	3.91E-04	2.95E-04	3.25E-03	3.02E-03	1.58E-03	1.74E-03	1.35E-03	1.98E-03	2.77E-03	3.10E-03	2.86E-03	1.13E-03	8.01E-04	9.61E-04	8.69E-04	3.20E-04	3.21E-04	1.77E-03	2.60E-03	2.02E-03	5.75E-04	63.19	18.51	28.80	13.95	21.42	5.59	21.21	13.08	18.60	2.56	21.27	11.28	39.82	6.51	8.49	77.20	23.54	80.90	29.12	12.92	37.97	8.25
Q47622	Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1	sapA	2	125.2	61508.41287	20	42	23	14	16	19	15	19	21	16	15	17	21	8	21	20	16	36	17	16	12	16	2.01E-03	4.27E-03	2.38E-03	1.47E-03	1.61E-03	1.94E-03	1.56E-03	1.90E-03	2.15E-03	1.59E-03	1.51E-03	1.73E-03	2.11E-03	7.74E-04	2.14E-03	2.07E-03	1.63E-03	3.73E-03	1.72E-03	1.60E-03	1.19E-03	1.62E-03	10.17	6.84	12.11	24.44	21.50	22.73	18.84	12.52	23.49	2.09	9.00	16.80	25.20	46.68	41.48	29.21	30.61	30.52	6.41	29.22	17.86	11.92
P0ACW6	Uncharacterized protein ydcH OS=Escherichia coli (strain K12) GN=ydcH PE=4 SV=2	ydcH	2	81.41	8854.61993	1	44	2	41	12	1	6	5	7	15	34	9	23	51	2	3	1	8	18	21	17	12	1.11E-05	6.50E-04	3.20E-05	6.02E-04	1.81E-04	2.14E-05	8.80E-05	7.97E-05	9.78E-05	2.15E-04	4.93E-04	1.34E-04	3.40E-04	7.49E-04	3.21E-05	4.16E-05	8.69E-06	1.24E-04	2.72E-04	3.11E-04	2.56E-04	1.76E-04	85.34	75.31	77.66	16.92	6.28	138.54	123.65	61.13	46.04	79.08	22.53	107.54	94.65	25.22	90.85	62.37	113.42	48.65	66.16	77.72	79.28	49.64
P27247	Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2	plsX	2	164.32	38172.48086	51	72	52	58	53	56	41	48	39	43	42	45	16	11	21	23	26	30	27	61	30	18	3.26E-03	4.59E-03	3.28E-03	3.68E-03	3.37E-03	3.53E-03	2.61E-03	3.03E-03	2.47E-03	2.70E-03	2.68E-03	2.88E-03	1.01E-03	7.21E-04	1.34E-03	1.46E-03	1.63E-03	1.88E-03	1.68E-03	3.84E-03	1.87E-03	1.12E-03	7.39	6.66	14.14	14.23	4.47	6.77	4.95	14.90	11.36	11.48	21.13	14.05	17.61	51.60	24.64	22.83	15.32	23.95	14.98	1.24	42.45	13.33
P0AEP9	Glycolate oxidase subunit glcD OS=Escherichia coli (strain K12) GN=glcD PE=3 SV=1	glcD	2	61.87	53759.593	33	97	43	48	24	15	23	12	18	16	13	16	2	8	14	23	33	38	41	23	39	47	2.99E-03	8.67E-03	3.87E-03	4.27E-03	2.17E-03	1.36E-03	2.07E-03	1.05E-03	1.65E-03	1.43E-03	1.17E-03	1.46E-03	1.78E-04	7.16E-04	1.28E-03	2.02E-03	2.91E-03	3.37E-03	3.68E-03	2.04E-03	3.52E-03	4.19E-03	17.89	18.56	15.32	11.44	27.36	5.82	11.26	35.48	9.31	7.98	29.96	10.94	70.35	18.26	18.39	41.90	20.70	10.08	11.61	6.32	8.52	12.10
P14176	Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1	proW	2	150.34	37577.3499	30	1314	27	9	4	7	8	4	8	6	4	5	7	11	118	14	3	17	4	10	7	14	1.86E-03	8.20E-02	1.66E-03	5.86E-04	2.29E-04	4.48E-04	4.94E-04	2.35E-04	5.21E-04	3.73E-04	2.72E-04	3.16E-04	4.56E-04	7.13E-04	7.33E-03	8.70E-04	1.75E-04	1.08E-03	2.64E-04	6.38E-04	4.32E-04	8.62E-04	31.01	13.14	25.88	57.43	25.94	94.68	58.62	76.31	41.79	68.22	29.88	21.85	70.20	15.46	7.78	18.67	80.61	35.37	45.95	49.16	37.85	19.60
P77279	Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1	fetA	2	121.29	25348.13345	70	162	98	51	48	44	37	39	48	34	28	27	14	16	59	34	50	45	36	24	34	32	2.95E-03	6.83E-03	4.14E-03	2.14E-03	2.04E-03	1.85E-03	1.55E-03	1.64E-03	2.01E-03	1.41E-03	1.20E-03	1.12E-03	5.94E-04	6.94E-04	2.49E-03	1.43E-03	2.10E-03	1.91E-03	1.53E-03	1.03E-03	1.41E-03	1.35E-03	4.66	4.16	6.76	9.35	4.18	6.79	9.22	6.60	14.03	12.17	11.01	16.16	6.35	38.35	36.14	35.22	5.68	19.18	18.63	17.42	19.66	15.92
P52094	Histidine transport system permease protein hisQ OS=Escherichia coli (strain K12) GN=hisQ PE=1 SV=2	hisQ	2	88.79	24615.27278	104	20	22	41	67	102	78	96	101	117	127	126	11	17	14	24	15	40	67	41	54	59	4.27E-03	8.37E-04	8.97E-04	1.68E-03	2.72E-03	4.16E-03	3.18E-03	3.94E-03	4.13E-03	4.77E-03	5.17E-03	5.15E-03	4.59E-04	6.88E-04	5.63E-04	9.68E-04	6.20E-04	1.62E-03	2.73E-03	1.67E-03	2.19E-03	2.39E-03	67.56	31.58	36.04	22.37	18.75	12.08	7.77	48.78	8.35	7.99	23.92	14.86	99.69	84.22	15.07	85.42	9.15	34.01	15.40	37.20	20.68	18.74
P28632	DNA polymerase III subunit psi OS=Escherichia coli (strain K12) GN=holD PE=1 SV=1	holD	2	168.57	15146.81145	26	34	36	6	6	5	0	15	13	6	5	4	35	27	19	7	74	1	36	16	20	23	6.53E-04	8.60E-04	8.96E-04	1.55E-04	1.57E-04	1.35E-04	1.02E-06	3.82E-04	3.28E-04	1.62E-04	1.18E-04	9.60E-05	8.82E-04	6.79E-04	4.85E-04	1.72E-04	1.86E-03	3.20E-05	9.02E-04	3.90E-04	4.97E-04	5.77E-04	34.95	64.99	80.15	34.59	123.33	124.87	164.95	86.55	39.00	73.91	117.68	108.78	6.63	23.48	59.62	138.72	35.17	81.12	10.82	19.61	18.91	24.23
P0ACK5	Deoxyribose operon repressor OS=Escherichia coli (strain K12) GN=deoR PE=1 SV=1	deoR	2	71.72	28511.57257	26	34	29	23	28	36	34	31	45	35	42	36	12	14	25	44	24	30	30	16	35	49	1.25E-03	1.62E-03	1.39E-03	1.10E-03	1.31E-03	1.71E-03	1.61E-03	1.49E-03	2.15E-03	1.65E-03	1.97E-03	1.69E-03	5.87E-04	6.67E-04	1.17E-03	2.09E-03	1.13E-03	1.41E-03	1.43E-03	7.79E-04	1.67E-03	2.34E-03	41.93	14.14	29.09	27.85	2.68	10.91	10.38	30.38	11.39	3.97	13.75	17.21	14.43	16.46	50.70	25.98	25.46	15.14	35.28	25.25	17.42	22.85
P0AA99	Putative L,D-transpeptidase YafK OS=Escherichia coli (strain K12) GN=yafK PE=3 SV=1	yafK	2	76.02	27985.12231	80	15	15	22	32	41	51	48	39	26	19	6	21	14	27	68	22	92	65	30	48	79	3.74E-03	6.94E-04	6.83E-04	1.02E-03	1.50E-03	1.89E-03	2.36E-03	2.24E-03	1.81E-03	1.21E-03	8.66E-04	2.72E-04	9.89E-04	6.59E-04	1.24E-03	3.16E-03	1.04E-03	4.26E-03	3.00E-03	1.40E-03	2.23E-03	3.66E-03	6.53	9.26	16.58	48.90	21.45	16.48	7.66	28.95	7.26	3.43	3.22	15.21	9.39	19.44	4.85	26.43	44.27	49.74	14.35	25.77	9.17	25.74
P29013	Uncharacterized protein ycgB OS=Escherichia coli (strain K12) GN=ycgB PE=4 SV=2	ycgB	2	127.37	60756.97139	5	36	6	8	10	8	11	5	8	9	13	17	8	6	6	5	17	7	7	9	7	6	4.71E-04	3.60E-03	6.27E-04	8.14E-04	9.71E-04	7.86E-04	1.10E-03	5.34E-04	7.59E-04	8.65E-04	1.35E-03	1.71E-03	8.35E-04	6.45E-04	6.45E-04	5.49E-04	1.74E-03	6.69E-04	7.19E-04	9.36E-04	6.71E-04	5.69E-04	17.54	10.03	22.50	15.75	20.13	40.74	8.59	34.84	33.97	14.01	36.22	5.09	46.84	25.01	24.60	19.62	13.00	18.82	26.31	26.85	24.46	32.96
P13001	Carboxylesterase BioH OS=Escherichia coli (strain K12) GN=bioH PE=1 SV=1	bioH	2	101.22	28468.85214	68	68	71	61	20	21	26	36	27	24	16	14	25	13	27	13	46	27	18	19	23	30	3.22E-03	3.20E-03	3.34E-03	2.86E-03	9.40E-04	1.00E-03	1.25E-03	1.68E-03	1.28E-03	1.13E-03	7.49E-04	6.58E-04	1.17E-03	6.27E-04	1.26E-03	5.98E-04	2.18E-03	1.29E-03	8.61E-04	8.80E-04	1.09E-03	1.41E-03	12.65	19.39	7.69	50.10	9.99	46.64	25.39	22.69	6.42	15.98	21.64	18.42	29.84	78.47	41.39	70.11	3.44	31.18	22.09	13.53	17.27	10.94
P0A8Y8	Esterase YbdB OS=Escherichia coli (strain K12) GN=ybdB PE=1 SV=1	entH	2	163.4	14942.35231	18	7	13	7	20	14	14	25	18	10	8	8	31	25	501	39	91	72	15	14	30	42	4.36E-04	1.76E-04	3.16E-04	1.82E-04	5.08E-04	3.43E-04	3.44E-04	6.30E-04	4.34E-04	2.49E-04	2.04E-04	2.04E-04	7.66E-04	6.23E-04	1.24E-02	9.55E-04	2.27E-03	1.78E-03	3.63E-04	3.45E-04	7.38E-04	1.04E-03	59.04	22.30	50.98	16.81	24.76	15.74	36.12	21.07	40.91	30.92	69.09	47.04	25.01	37.20	10.91	57.64	33.79	29.12	61.54	36.42	39.10	55.28
P77554	Uncharacterized protein yahJ OS=Escherichia coli (strain K12) GN=yahJ PE=4 SV=1	yahJ	2	79.98	50498.75607	2	8	4	8	5	5	9	8	7	10	8	7	6	7	15	15	15	12	13	14	10	9	1.84E-04	6.49E-04	3.64E-04	7.00E-04	4.56E-04	4.20E-04	7.51E-04	6.38E-04	6.02E-04	8.56E-04	7.11E-04	6.06E-04	5.19E-04	6.20E-04	1.28E-03	1.28E-03	1.25E-03	9.90E-04	1.11E-03	1.16E-03	8.30E-04	7.23E-04	35.02	55.05	49.23	17.06	41.54	7.38	17.54	30.94	54.18	18.70	14.01	32.19	54.09	11.89	16.55	57.92	9.93	6.47	20.03	5.09	10.26	16.32
P77721	Uncharacterized HTH-type transcriptional regulator ydjF OS=Escherichia coli (strain K12) GN=ydjF PE=1 SV=1	ydjF	2	117.19	28225.67774	23	68	32	30	29	29	21	38	23	29	27	31	9	13	10	17	7	20	28	18	30	24	1.06E-03	3.20E-03	1.48E-03	1.39E-03	1.34E-03	1.34E-03	9.80E-04	1.78E-03	1.09E-03	1.34E-03	1.26E-03	1.45E-03	4.37E-04	6.14E-04	4.78E-04	8.12E-04	3.44E-04	9.60E-04	1.33E-03	8.62E-04	1.39E-03	1.11E-03	13.42	16.14	9.66	17.64	25.63	11.22	22.16	10.98	18.44	23.35	21.35	16.88	16.22	13.06	31.56	20.26	23.53	22.08	42.27	48.86	26.75	14.97
P37344	Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2	pspF	2	84.39	36945.19741	22	17	14	12	17	15	15	19	15	15	13	12	12	10	12	19	17	17	19	12	18	17	1.35E-03	1.05E-03	8.47E-04	7.57E-04	1.03E-03	9.26E-04	8.92E-04	1.18E-03	9.51E-04	9.08E-04	7.96E-04	7.53E-04	7.15E-04	6.08E-04	7.60E-04	1.15E-03	1.07E-03	1.07E-03	1.18E-03	7.62E-04	1.12E-03	1.05E-03	20.86	30.37	6.26	4.86	11.67	12.52	14.25	11.28	18.92	19.54	5.47	9.42	26.87	13.53	15.61	25.26	18.16	17.39	18.21	19.20	20.59	10.32
P23837	Sensor protein phoQ OS=Escherichia coli (strain K12) GN=phoQ PE=1 SV=1	phoQ	2	76.32	55246.81346	12	32	14	15	14	20	15	19	18	22	21	23	5	6	9	12	11	16	22	14	24	22	1.11E-03	2.90E-03	1.31E-03	1.35E-03	1.32E-03	1.87E-03	1.36E-03	1.71E-03	1.63E-03	2.06E-03	1.93E-03	2.09E-03	4.50E-04	5.94E-04	7.92E-04	1.09E-03	1.02E-03	1.42E-03	2.04E-03	1.30E-03	2.19E-03	2.01E-03	9.47	20.58	18.46	13.85	18.41	16.27	8.86	44.54	10.45	9.03	12.85	9.11	14.17	15.06	16.04	26.12	15.26	21.18	4.84	39.98	23.84	11.75
P0C0K3	Protein rdoA OS=Escherichia coli (strain K12) GN=rdoA PE=1 SV=1	rdoA	2	60.06	38078.10676	57	108	83	25	29	26	44	50	19	11	9	6	9	9	10	45	35	31	36	28	39	60	3.62E-03	6.82E-03	5.22E-03	1.60E-03	1.86E-03	1.67E-03	2.79E-03	3.15E-03	1.22E-03	6.92E-04	5.70E-04	3.97E-04	5.46E-04	5.88E-04	6.12E-04	2.85E-03	2.18E-03	1.97E-03	2.28E-03	1.75E-03	2.48E-03	3.79E-03	6.02	7.69	8.74	41.36	22.14	11.98	8.40	13.24	20.27	26.52	5.01	35.24	44.39	18.48	68.33	64.09	11.17	44.57	14.44	26.02	14.33	7.91
P37649	Protein YhjK OS=Escherichia coli (strain K12) GN=yhjK PE=1 SV=3	yhjK	2	66.32	74315.39691	3	4	4	4	4	5	3	5	10	9	8	11	4	5	3	5	3	1	4	5	5	3	3.71E-04	5.07E-04	4.96E-04	4.80E-04	5.06E-04	6.30E-04	3.84E-04	6.57E-04	1.19E-03	1.09E-03	9.87E-04	1.39E-03	4.32E-04	5.83E-04	4.23E-04	6.30E-04	3.49E-04	7.99E-05	5.01E-04	5.88E-04	5.84E-04	3.49E-04	55.07	22.83	61.32	26.17	21.09	15.01	21.99	70.12	31.51	18.87	13.33	28.64	95.67	41.61	39.63	14.46	85.41	115.38	10.39	57.91	49.50	58.67
P19636	Ethanolamine ammonia-lyase light chain OS=Escherichia coli (strain K12) GN=eutC PE=1 SV=2	eutC	2	109.72	31743.39396	12	13	22	15	19	12	19	15	36	33	41	40	4	11	26	18	36	24	11	24	19	42	6.28E-04	7.05E-04	1.17E-03	7.98E-04	9.86E-04	6.31E-04	1.00E-03	7.94E-04	1.87E-03	1.74E-03	2.18E-03	2.09E-03	2.33E-04	5.80E-04	1.40E-03	9.23E-04	1.90E-03	1.29E-03	5.82E-04	1.29E-03	9.76E-04	2.19E-03	12.76	31.23	5.43	17.13	16.05	34.79	13.42	17.96	4.84	2.24	12.36	17.13	51.41	20.69	45.77	35.34	21.62	56.36	68.64	21.06	42.99	58.61
P64612	Uncharacterized protein YhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1	zapE	2	58.27	43018.03749	32	31	35	17	22	34	28	28	44	31	29	20	10	8	17	31	20	16	28	16	31	44	2.29E-03	2.23E-03	2.48E-03	1.24E-03	1.60E-03	2.39E-03	2.01E-03	1.99E-03	3.14E-03	2.24E-03	2.09E-03	1.40E-03	7.37E-04	5.76E-04	1.22E-03	2.21E-03	1.42E-03	1.18E-03	2.02E-03	1.14E-03	2.20E-03	3.12E-03	22.46	19.30	21.56	29.56	23.11	12.19	15.06	20.13	17.80	5.65	21.09	10.59	45.32	48.69	17.92	26.83	9.17	41.89	19.20	28.45	26.47	9.84
P37659	Uncharacterized protein yhjU OS=Escherichia coli (strain K12) GN=yhjU PE=4 SV=1	bcsG	2	85.76	61974.43042	42	38	66	38	58	72	73	58	92	97	68	61	7	5	27	25	46	51	53	24	53	69	4.36E-03	3.90E-03	6.74E-03	3.90E-03	5.98E-03	7.39E-03	7.49E-03	6.00E-03	9.51E-03	1.00E-02	6.95E-03	6.27E-03	7.58E-04	5.32E-04	2.82E-03	2.60E-03	4.75E-03	5.28E-03	5.41E-03	2.49E-03	5.40E-03	7.06E-03	53.30	15.68	13.69	19.27	8.76	30.60	10.24	41.58	7.54	6.35	7.92	4.88	42.89	8.16	8.82	10.74	18.80	8.93	19.36	41.31	37.84	16.78
P64448	Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1	ynbE	2	67.73	6817.65486	83	104	119	46	74	99	87	78	71	63	50	52	61	47	131	73	133	99	76	68	83	145	9.42E-04	1.18E-03	1.35E-03	5.17E-04	8.35E-04	1.12E-03	9.90E-04	8.86E-04	8.01E-04	7.17E-04	5.67E-04	5.93E-04	6.91E-04	5.27E-04	1.48E-03	8.30E-04	1.51E-03	1.12E-03	8.58E-04	7.65E-04	9.39E-04	1.64E-03	10.21	9.46	42.56	9.40	14.53	19.52	9.16	30.08	16.10	6.93	7.40	16.80	28.07	14.90	17.38	50.66	18.69	6.34	20.88	19.70	11.46	27.65
P75713	Uncharacterized protein ylbA OS=Escherichia coli (strain K12) GN=ylbA PE=1 SV=1	ylbA	2	93.91	28694.14792	25	44	27	51	49	23	26	44	65	73	81	110	9	11	8	9	20	13	13	28	43	29	1.20E-03	2.08E-03	1.28E-03	2.43E-03	2.34E-03	1.08E-03	1.23E-03	2.08E-03	3.09E-03	3.50E-03	3.88E-03	5.24E-03	4.15E-04	5.14E-04	3.94E-04	4.09E-04	9.67E-04	6.08E-04	6.11E-04	1.35E-03	2.04E-03	1.40E-03	20.50	65.94	31.88	24.95	38.09	64.28	23.70	71.01	23.01	25.30	31.77	4.06	78.87	26.97	95.19	65.17	65.32	70.44	42.36	58.44	9.51	55.27
P0A6E9	Putative dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=ynfK PE=3 SV=1	bioD	2	152.18	24947.35565	4	11	6	2	4	8	4	3	5	5	4	5	16	12	3	25	5	4	9	9	10	8	1.75E-04	4.50E-04	2.36E-04	9.52E-05	1.54E-04	3.15E-04	1.85E-04	1.40E-04	2.18E-04	1.95E-04	1.51E-04	1.92E-04	6.54E-04	5.10E-04	1.36E-04	1.04E-03	2.07E-04	1.65E-04	3.71E-04	3.53E-04	4.24E-04	3.22E-04	24.78	31.17	14.97	29.25	38.91	44.72	37.08	43.56	25.98	8.83	54.66	31.17	52.91	32.72	96.80	22.60	6.79	61.05	24.32	45.26	39.72	10.49
P05804	Beta-glucuronidase OS=Escherichia coli (strain K12) GN=uidA PE=1 SV=2	uidA	2	58.88	68385.67522	1	6	1	1	1	1	1	1	1	4	7	12	3	4	7	6	2	2	1	1	1	2	1.47E-04	7.38E-04	6.81E-05	6.99E-05	8.94E-05	1.02E-04	6.33E-05	1.49E-04	9.84E-05	4.81E-04	7.90E-04	1.32E-03	3.54E-04	5.04E-04	7.39E-04	6.86E-04	2.55E-04	2.34E-04	1.69E-04	1.34E-04	1.21E-04	1.82E-04	33.80	82.22	83.18	17.28	48.07	127.15	82.16	18.53	82.49	11.34	43.06	14.56	83.90	76.10	56.49	78.10	84.99	80.50	22.25	66.15	63.65	59.71
P0A915	Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1	ompW	2	221.03	22895.28127	28	183	103	89	74	86	50	55	130	283	309	358	17	13	24	31	27	47	65	36	68	25	1.05E-03	6.96E-03	3.91E-03	3.40E-03	2.81E-03	3.26E-03	1.90E-03	2.09E-03	4.95E-03	1.08E-02	1.17E-02	1.36E-02	6.49E-04	4.92E-04	9.13E-04	1.16E-03	1.01E-03	1.77E-03	2.47E-03	1.37E-03	2.57E-03	9.59E-04	34.06	14.38	5.13	7.23	7.20	2.75	4.48	8.39	28.21	14.19	12.84	10.37	12.19	12.05	85.96	15.85	15.57	9.42	3.50	9.20	27.89	51.67
P0AE63	Cation transport regulator ChaB OS=Escherichia coli (strain K12) GN=chaB PE=1 SV=1	chaB	2	51.57	8921.34967	79	22	39	62	103	56	72	46	71	54	53	66	22	33	67	21	210	32	79	137	54	65	1.16E-03	3.24E-04	5.71E-04	9.11E-04	1.52E-03	8.36E-04	1.07E-03	6.75E-04	1.06E-03	8.04E-04	7.91E-04	9.74E-04	3.26E-04	4.91E-04	9.94E-04	3.07E-04	3.11E-03	4.74E-04	1.17E-03	2.03E-03	8.02E-04	9.64E-04	78.93	14.99	16.65	9.42	39.58	6.25	19.65	8.80	13.19	19.79	31.30	18.64	37.52	105.25	85.29	106.26	84.53	83.48	19.58	60.83	24.84	15.48
P0A7Y4	Ribonuclease HI OS=Escherichia coli (strain K12) GN=rnhA PE=1 SV=1	rnhA	2	99.7	17567.83941	24	36	29	8	9	14	12	14	10	6	7	4	15	17	31	18	24	19	12	8	10	12	6.90E-04	1.06E-03	8.32E-04	2.35E-04	2.77E-04	4.14E-04	3.47E-04	4.06E-04	2.91E-04	1.83E-04	1.92E-04	1.31E-04	4.26E-04	4.82E-04	8.93E-04	5.33E-04	6.97E-04	5.68E-04	3.45E-04	2.35E-04	2.77E-04	3.52E-04	25.88	2.65	69.28	20.40	32.07	18.47	26.10	24.44	21.55	17.99	32.54	37.23	16.13	12.40	23.03	28.78	13.11	13.23	23.15	5.17	7.10	15.81
P30847	Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) GN=baeS PE=3 SV=2	baeS	2	90.99	51941.16903	9	15	8	20	14	12	16	10	13	13	10	11	5	6	7	23	9	13	16	9	13	17	7.91E-04	1.26E-03	7.32E-04	1.76E-03	1.22E-03	1.03E-03	1.34E-03	8.94E-04	1.10E-03	1.10E-03	8.60E-04	9.52E-04	4.72E-04	4.80E-04	6.39E-04	1.99E-03	8.03E-04	1.12E-03	1.36E-03	7.59E-04	1.13E-03	1.50E-03	47.59	21.20	33.81	31.90	14.48	14.65	4.16	9.64	13.59	15.51	30.03	21.14	52.60	83.88	43.22	58.65	24.61	3.80	24.81	21.01	36.86	12.95
P69488	Divalent-cation tolerance protein CutA OS=Escherichia coli (strain K12) GN=cutA PE=1 SV=1	cutA	2	102.68	12305.21781	12	20	47	62	59	33	59	56	86	89	131	113	30	22	121	27	85	21	8	72	38	18	2.41E-04	4.15E-04	9.67E-04	1.26E-03	1.20E-03	6.70E-04	1.22E-03	1.13E-03	1.77E-03	1.82E-03	2.68E-03	2.31E-03	6.19E-04	4.50E-04	2.47E-03	5.55E-04	1.74E-03	4.23E-04	1.71E-04	1.48E-03	7.69E-04	3.66E-04	23.86	61.63	47.21	73.63	49.31	71.20	53.65	58.40	21.45	9.60	26.38	20.92	23.51	31.89	25.65	101.00	13.10	108.46	57.62	38.10	40.77	53.32
