Gene	ExpAgeP-value	ExpAgeDirection	MethAgeP-value	MethAgeDirection	ExpMethP-value	ExpMethDirection	TopMediator	Z-score	MedP-value	NoCpGsTested	NoBonferroniSig
LGALS3BP	4,0E-03	+-----+	9,1E-107	-------	5,0E-25	+++++++	cg27470213	-9,4	4,4E-21	277	13
VPS51	9,8E-09	-------	1,5E-40	-------	1,1E-60	+++++++	cg11321083	-10,4	2,0E-25	343	16
CCDC170	2,0E-01	-++-?+-	2,8E-10	----?--	1,1E-03	+--+?--	cg26696162	2,9	1,9E-03	119	0
SLC7A7	1,0E-08	+++++++	2,6E-13	+------	3,5E-24	-------	cg02999224	5,9	1,5E-09	204	10
ZNF683	8,1E-01	++++-?+	1,2E-57	+++++?+	1,5E-77	+++++?+	cg04079139	12,1	3,2E-34	210	36
TNFAIP6	1,5E-10	+++++++	1,3E-15	+----+-	1,4E-43	-+-----	cg09727050	6,9	2,2E-12	55	6
DMXL2	1,3E-02	+++++-+	1,1E-11	-----+-	6,9E-15	++-----	cg07772516	5,1	1,5E-07	88	4
CD86	3,9E-06	-++++++	6,3E-13	-------	4,2E-17	-------	cg04387658	5,5	2,3E-08	62	5
ATG7	2,2E-07	-++++-+	1,9E-37	-------	6,2E-29	+------	cg09666573	8,4	2,0E-17	155	14
KIF13B	7,9E-03	++-++++	1,1E-44	++++++-	1,3E-26	+++++++	cg10947480	8,5	1,0E-17	112	11
VIM	3,6E-06	+++++++	2,1E-76	-------	7,2E-07	-------	cg26063719	4,8	8,5E-07	48	1
CAPNS1	2,9E-05	+++++++	0,0E+00	+++++++	1,6E-04	+++++++	cg17110586	3,8	8,6E-05	189	2
TMEM123	1,1E-04	+----+-	1,1E-31	+++++++	9,8E-27	+------	cg26207239	-7,9	1,4E-15	62	3
GAL3ST4	4,7E-07	+------	2,8E-28	-++++++	7,6E-33	-------	cg07461273	-8,1	2,8E-16	219	14
ANKRD46	2,0E-06	+-----+	1,8E-12	-------	6,6E-16	-++-+++	cg13675051	-5,3	5,4E-08	58	3
PDIA5	2,0E-05	-------	1,2E-11	++-++++	3,2E-02	+---+-+	cg15993383	-2,1	2,0E-02	124	0
MR1	9,0E-05	-++++?+	5,4E-10	-++++?-	9,1E-03	--+++?+	cg13861536	2,4	8,1E-03	90	0
HDAC2	9,5E-09	+-----+	2,1E-09	+------	6,6E-02	-++++-+	cg00437124	-1,8	4,0E-02	55	0
PRDM8	9,6E-05	+-+-++-	1,3E-10	+++++++	1,7E-07	+++++-+	cg03670393	4,1	2,5E-05	103	4
ST6GAL1	1,9E-18	+------	6,8E-22	+++++++	4,8E-33	-------	cg25599673	-7,5	3,2E-14	96	4
PLA2G16	2,0E-03	-+-++-+	7,6E-86	-------	3,1E-19	-------	cg05817709	8,2	1,7E-16	122	15
SH3PXD2A	1,6E-06	------+	5,5E-31	-------	6,8E-19	+++++++	cg26378073	-7,1	9,2E-13	225	15
GNS	5,9E-06	-++++++	9,8E-25	-------	1,7E-13	-------	cg12707346	6,0	1,1E-09	60	5
ZCCHC7	1,1E-08	-------	1,1E-127	+++++++	6,2E-05	----++-	cg13683040	-4,0	3,9E-05	84	3
KCNG1	2,2E-06	-----+-	2,1E-22	-------	8,5E-08	++++-++	cg15838320	-4,7	1,3E-06	69	6
TRIM28	1,0E-05	-------	1,4E-11	-------	7,2E-05	-++++++	cg06638023	-3,4	3,1E-04	226	0
VNN3	8,4E-07	+++++-+	9,3E-15	-------	5,6E-39	-------	cg16100392	6,7	1,3E-11	80	6
RPL19	1,4E-09	+----+-	9,8E-57	+++++++	1,5E-19	-------	cg06797069	-7,9	1,9E-15	111	11
GTPBP3	1,2E-14	-------	4,3E-81	-------	7,8E-29	+++++++	cg16363586	-9,6	3,2E-22	277	18
MMP9	1,0E-05	+++++-+	3,0E-103	-------	4,1E-14	------+	cg03206537	7,1	4,9E-13	233	7
HVCN1	8,0E-05	---?-++	1,2E-33	--+?---	8,9E-12	+++?+++	cg08752433	-5,9	1,4E-09	132	3
RBPJ	4,1E-08	+++++++	1,0E-32	-------	5,4E-15	-------	cg04366628	6,5	3,2E-11	85	3
MAP3K4	8,9E-07	+---+--	2,2E-46	+++++++	1,2E-33	-------	cg26780581	-9,2	1,3E-20	74	3
SLCO3A1	3,9E-06	++++++-	3,3E-17	---+---	1,8E-21	---+---	cg13615971	6,3	1,4E-10	65	4
RPP40	1,4E-06	-------	7,8E-43	-------	2,1E-09	+++++++	cg11935248	-5,5	2,0E-08	85	1
PROS1	5,7E-03	++++-++	5,4E-03	-+-----	3,4E-02	-----+-	cg04032566	1,7	4,6E-02	45	0
PDCD4	4,5E-03	-------	2,0E-78	+++++++	3,4E-03	-------	cg05329352	-2,9	1,9E-03	97	0
ARHGAP26	2,0E-07	+++++++	3,5E-20	-------	1,4E-13	-------	cg08400424	5,8	4,1E-09	107	8
LTA	7,1E-07	-----+-	7,2E-155	-------	2,1E-49	+++++++	cg20543183	-12,9	2,1E-38	1046	110
EPRS	3,1E-07	-----?-	2,1E-06	+++--?+	2,8E-04	+-+++?-	cg05155775	-2,9	2,0E-03	74	0
PAG1	1,7E-09	+------	1,9E-16	+++++++	1,7E-07	-------	cg02520639	-4,4	5,1E-06	59	5
METRNL	1,3E-13	+++++++	9,3E-58	+++++++	4,3E-15	+++++++	cg15787636	7,1	9,1E-13	326	18
MAPK14	9,9E-02	+++++-+	1,3E-44	-------	3,5E-16	-+-----	cg13405631	7,1	9,0E-13	107	7
TTC39B	6,6E-03	-------	2,4E-30	+------	4,4E-03	-++-+++	cg02639095	-2,8	2,8E-03	33	0
MRI1	1,5E-11	-------	1,6E-66	-------	1,2E-21	+++++++	cg24704287	-8,4	3,2E-17	177	16
PLOD1	1,1E-08	-++++?+	6,9E-81	-----?-	1,4E-20	+----?-	cg25467652	8,4	3,2E-17	209	19
C11orf1	3,1E-03	+-?----	9,5E-65	--?----	5,0E-15	++?++++	cg03548415	-7,1	5,9E-13	138	2
LGALSL	4,3E-03	-++++++	4,9E-12	-----+-	7,2E-05	+--+--+	cg15132282	3,4	2,9E-04	71	1
GOLM1	2,5E-03	-+++++-	1,4E-11	-----+-	8,5E-02	--+----	cg14134003	1,7	4,8E-02	26	0
RRP1B	8,2E-04	+------	2,5E-09	+------	1,0E-19	-++++++	cg15536230	-5,0	3,1E-07	148	5
GBA	1,1E-07	+++++?+	1,4E-47	-----?-	3,6E-19	-----?-	cg04928693	7,6	1,3E-14	355	15
ITGA2B	8,6E-09	++++?++	1,2E-09	+---?--	9,3E-04	----?-+	cg21714061	2,9	1,8E-03	228	0
ZNF146	7,9E-09	-------	6,5E-16	-------	8,1E-05	--+++++	cg22719241	-3,5	2,0E-04	156	1
RPS16	1,5E-05	---?---	5,0E-72	---?---	6,0E-30	+++?+++	cg16745596	-9,6	3,9E-22	187	5
CIAPIN1	5,3E-03	+--+---	3,0E-26	-------	8,7E-10	+-+-++-	cg12125117	-5,3	5,6E-08	150	9
HNRNPD	7,4E-10	-------	3,2E-31	-------	4,4E-03	+-+++++	cg13873733	-2,8	2,8E-03	64	0
HERPUD2	2,0E-03	++++-++	1,9E-14	--+----	2,0E-05	-------	cg08753560	3,7	9,8E-05	55	3
TOP2B	1,3E-06	-------	1,3E-23	-------	1,6E-09	-++++++	cg21646032	-5,2	1,2E-07	70	1
NHP2L1	1,8E-05	------+	4,3E-38	-------	1,5E-43	+-+++++	cg26581503	-9,4	1,9E-21	151	7
CTSG	1,8E-07	-++++++	2,5E-30	-------	2,2E-06	------+	cg24355048	4,4	6,1E-06	92	1
DUSP18	1,0E-03	++++++-	4,6E-19	-------	2,2E-09	-+-+---	cg26986147	5,0	3,4E-07	98	2
DCXR	4,8E-03	---?--+	4,3E-47	---?---	2,3E-19	+++?+++	cg05271255	-7,6	1,1E-14	548	28
HMGB2	1,4E-02	-++?+++	4,6E-14	+--?---	5,4E-11	-+-?---	cg03580292	5,0	3,7E-07	175	3
MIR600HG	8,8E-10	-----+-	2,1E-11	+------	1,3E-10	+++++++	cg13563462	-4,6	1,8E-06	42	3
MPO	1,3E-07	+++++++	1,0E-15	-------	4,4E-09	---+---	cg04266202	4,7	1,1E-06	145	5
PSIP1	3,7E-06	-----+-	1,3E-30	+------	1,4E-04	-++-+++	cg02639095	-3,6	1,5E-04	27	1
NOD2	7,2E-05	+++++++	6,0E-89	-------	1,3E-11	---+---	cg09559780	6,4	7,2E-11	94	5
GNPTAB	6,0E-03	+++++--	5,8E-08	--++---	3,0E-16	-------	cg11081231	4,5	3,1E-06	50	2
PIK3C2B	2,0E-13	+----?+	2,3E-56	+++++?+	1,4E-15	-----?-	cg21195376	-7,1	5,1E-13	140	4
TCN2	9,8E-06	+++++++	8,1E-51	-------	6,9E-05	---+---	cg23072383	3,8	6,0E-05	117	2
C3orf37	2,6E-08	-------	3,5E-21	-------	1,5E-22	--+++++	cg04571130	-6,8	5,5E-12	159	14
MIF	4,1E-06	+------	1,2E-77	+++++++	7,6E-16	-------	cg01912455	-7,4	6,9E-14	117	4
PHC2	1,2E-09	+++++?+	2,1E-16	-----?-	8,1E-33	-+-+-?-	cg19082496	6,8	6,6E-12	154	7
USP3	1,6E-03	-++++++	6,8E-39	+++++-+	2,8E-08	+++-+++	cg08783514	5,1	1,6E-07	103	5
GSTO1	3,1E-08	-++++++	6,3E-06	+++++++	3,5E-05	+++++++	cg09530438	3,1	1,1E-03	113	0
FGR	2,9E-05	+++++?+	3,5E-37	-----?-	2,4E-31	-----?-	cg11587640	8,6	4,1E-18	231	24
LSM5	1,4E-08	+----++	4,7E-16	--+----	5,1E-12	+++++++	cg12362478	-5,3	7,3E-08	49	2
TCF4	1,5E-03	-++---+	6,8E-63	+++++++	5,8E-05	+-+-++-	cg25079568	-3,9	4,6E-05	27	3
ELP2	1,1E-08	-------	9,5E-45	-------	6,0E-04	++++++-	cg13214542	-3,3	4,3E-04	61	1
PAFAH1B3	4,9E-06	-------	3,5E-29	-------	4,9E-23	+++++++	cg11719283	-7,4	6,1E-14	261	14
LPAR6	1,7E-03	-+-+++-	5,6E-04	-+-++++	2,0E-02	++--+++	cg15338967	1,9	2,7E-02	68	0
NONO	7,3E-05	-?----+	1,0E-13	-?-----	1,5E-18	-?+-+++	cg12391921	-5,7	6,8E-09	166	6
GOLGA3	1,7E-07	-------	2,8E-89	+++++++	2,0E-19	-------	cg21232015	-8,2	1,0E-16	373	18
LAT	5,3E-09	-------	3,6E-41	-------	1,7E-11	+++++++	cg03726236	-6,0	8,9E-10	165	10
FOXD2	1,1E-03	+++++?+	2,1E-40	+++++?+	3,0E-48	+++++?+	cg05402131	9,8	4,0E-23	135	38
CCNB1IP1	1,4E-04	-------	6,9E-08	-----+-	3,4E-10	-++-++-	cg04928930	-4,1	2,1E-05	87	3
USP11	3,0E-05	+?+----	4,9E-14	-?-----	4,4E-10	+?+++++	cg09076821	-4,8	7,7E-07	128	2
TNIP3	2,7E-01	-+++-+-	2,7E-35	+++++++	2,5E-29	++++-++	cg26832294	8,3	4,1E-17	54	6
EHD4	8,6E-05	+++++++	2,3E-19	-------	4,6E-08	-------	cg12655112	4,7	1,5E-06	140	1
NSMCE1	7,9E-07	-------	1,1E-21	-------	3,7E-27	+-+++++	cg08008352	-7,2	4,0E-13	98	4
PRSS30P	2,4E-04	+++++++	2,1E-37	-------	1,6E-19	-------	cg27583220	7,4	7,9E-14	346	26
CRLF3	2,5E-10	-------	6,3E-31	+++++++	5,2E-05	----+--	cg22485810	-3,8	6,8E-05	79	2
SLC4A4	3,5E-02	-+++++-	1,3E-15	--+----	1,8E-08	-------	cg07376029	4,6	2,1E-06	55	9
RPF2	5,6E-06	-------	2,3E-37	-------	4,5E-05	+-+++++	cg05449607	-3,9	5,0E-05	73	1
UBIAD1	5,6E-04	-----?+	1,8E-05	----+?-	4,3E-10	+-+++?+	cg04136456	-3,5	2,0E-04	119	2
VCL	3,1E-03	-+++-++	2,9E-41	-------	4,3E-04	-------	cg14333542	3,4	3,3E-04	145	1
PPP2R5C	2,5E-04	-+++--+	6,8E-131	+++++++	1,7E-34	+++++++	cg27050153	10,9	3,6E-28	231	46
OCIAD1	9,5E-10	+------	3,2E-13	+++++++	7,8E-04	-------	cg17885481	-3,1	1,1E-03	63	0
ZNF548	3,9E-12	+------	4,4E-14	-------	8,1E-05	-++++++	cg26562972	-3,5	2,4E-04	211	0
IL12RB1	1,0E-04	+++++-+	6,8E-47	-------	4,1E-23	-------	cg08191530	8,2	1,7E-16	304	26
SMAD7	4,3E-04	++++-++	2,8E-24	--+----	5,5E-42	-------	cg19811144	8,1	2,0E-16	48	5
CCDC41	5,1E-03	----+-+	3,9E-07	++-++-+	4,1E-03	------+	cg12349580	-2,5	6,3E-03	81	0
TSPAN17	8,3E-09	+++++++	6,9E-48	-------	1,6E-22	-------	cg15357821	8,1	2,6E-16	220	30
AKR1B1	1,8E-06	-------	6,6E-36	-------	3,7E-43	+++++++	cg24333621	-9,3	1,0E-20	59	2
CSRP1	1,0E-04	+++++?+	2,8E-56	-----?-	8,1E-09	-----?+	cg10482632	5,4	3,1E-08	174	7
ANXA4	3,2E-01	+-+?+?-	1,7E-08	---?-?-	9,3E-02	-+-?-?-	cg23637349	1,6	5,3E-02	125	0
MVP	2,0E-09	+++++++	1,0E-55	+------	6,5E-13	-+-+---	cg02747254	6,5	3,1E-11	296	7
CEBPA	2,6E-07	+++++++	3,3E-11	+------	1,4E-19	-------	cg22250546	5,4	4,4E-08	110	7
LCMT2	2,7E-06	+-----+	3,2E-36	-------	1,1E-11	-++++++	cg18431127	-6,0	1,1E-09	125	5
MTHFD1L	1,1E-03	+----+-	5,8E-49	-------	2,7E-06	++++++-	cg21691367	-4,5	3,9E-06	86	1
MFSD10	7,6E-08	+++++++	3,6E-33	-------	4,1E-34	-------	cg08968034	8,6	6,3E-18	159	21
TTYH3	4,2E-06	+++++++	1,2E-21	-------	2,6E-10	-------	cg09595020	5,3	6,8E-08	364	11
PFKFB2	3,2E-01	-++++--	3,3E-09	+----+-	1,5E-03	---+---	cg01710147	2,8	2,6E-03	97	0
DOK2	7,2E-09	+++++++	1,3E-37	-------	1,0E-10	-------	cg21163717	5,8	4,0E-09	159	9
RPL4	1,4E-07	-------	2,1E-55	-------	3,5E-43	+++++++	cg13048962	-10,4	2,1E-25	121	10
CLSTN3	3,8E-02	+++-+++	1,6E-16	--+----	2,3E-06	----+--	cg14248598	4,1	2,1E-05	184	5
SLAMF7	3,4E-02	++-++-+	1,7E-28	-------	8,7E-32	-------	cg19718360	8,1	4,1E-16	67	13
MRPL3	1,7E-07	+--?---	3,6E-05	+--?---	8,1E-03	+-+?++-	cg20894410	-2,2	1,3E-02	35	0
TCN1	4,3E-10	-++++++	4,2E-16	-------	3,1E-15	+------	cg19739596	5,7	7,5E-09	86	10
ACAA2	2,7E-04	+++++++	1,8E-191	-------	6,5E-09	-------	cg21469505	5,7	6,2E-09	24	3
P2RX5	8,3E-08	-------	9,8E-13	+++++-+	9,1E-80	-------	cg02212339	-6,7	1,2E-11	250	5
RASGRP3	9,8E-05	-+---++	1,4E-09	------+	1,2E-03	+++++--	cg12210094	-2,9	2,1E-03	52	0
PRPSAP2	1,2E-04	-------	1,1E-09	+------	2,7E-06	-++++++	cg21495715	-3,7	1,0E-04	63	2
HAPLN3	1,7E-04	+------	1,4E-14	--+----	1,2E-25	+++++++	cg27059228	-6,2	2,8E-10	110	16
DUSP3	5,2E-09	+++++-+	4,8E-30	-------	1,8E-14	-------	cg01512089	6,4	1,0E-10	209	12
HNRNPM	2,2E-05	+-----+	1,4E-10	+----+-	2,9E-52	-++++++	cg02319986	-5,9	1,7E-09	185	6
EIF3D	1,6E-07	+------	6,3E-04	-----+-	1,2E-11	+++++++	cg23441210	-3,1	1,1E-03	90	0
JAKMIP1	7,5E-01	--+-++-	6,9E-03	+------	3,8E-03	-------	cg20793532	2,0	2,4E-02	143	0
RAB31	1,8E-05	++++++-	1,7E-28	+----+-	3,3E-34	-------	cg27298007	8,2	1,2E-16	55	2
TRAT1	6,7E-07	-------	1,3E-08	-++++++	2,8E-12	+--+---	cg19400179	-4,4	5,1E-06	27	2
CMSS1	1,2E-03	---+-+-	5,9E-12	+----+-	1,1E-30	+++++++	cg23528247	-5,9	1,7E-09	140	9
LUC7L	7,4E-05	-------	1,9E-14	+----+-	1,0E-17	+-+-++-	cg03363565	-5,7	5,6E-09	264	9
DDX21	1,3E-11	-------	2,6E-48	-------	2,3E-08	-++++++	cg24417845	-5,2	9,2E-08	87	3
DNMT3A	3,1E-02	-------	1,8E-42	+++++++	1,8E-04	------+	cg15302376	-3,6	1,5E-04	150	1
ZFAND1	1,9E-06	-------	7,6E-08	-------	1,3E-08	++++++-	cg18584012	-3,9	4,7E-05	63	2
LRRC8C	1,7E-03	-----?-	1,0E-18	-----?-	9,8E-09	+++++?+	cg04550950	-4,8	7,6E-07	90	5
PLAC8	3,0E-08	---+--+	1,0E-12	-------	9,1E-15	--+-+++	cg03321813	-5,3	7,8E-08	99	3
CD151	1,9E-05	-++++++	3,2E-18	-------	2,6E-60	-------	cg22009923	7,7	7,5E-15	537	9
ABCB1	2,1E-02	+--+---	1,6E-79	-------	5,9E-04	-++-+++	cg17326451	-3,4	3,6E-04	74	1
SLC1A7	1,5E-07	-++++?+	1,9E-21	-----?-	4,1E-64	-----?-	cg03601886	8,3	5,7E-17	133	16
CAST	6,0E-06	-+++++-	6,5E-44	-------	4,5E-08	-+-----	cg08175413	5,1	1,8E-07	105	5
SGPL1	8,3E-06	-++++++	8,3E-09	-----+-	1,6E-04	+------	cg05983405	3,2	7,9E-04	73	0
RAB37	2,9E-04	++++-++	1,5E-34	-------	2,1E-14	-------	cg06289802	6,5	4,4E-11	261	13
MRPL24	9,1E-08	-----?-	5,9E-40	-----?-	3,4E-13	+++-+?+	cg12126706	-6,4	9,0E-11	281	12
ID2	1,5E-02	++++---	1,2E-30	+++++++	1,8E-69	+++++++	cg16345795	9,6	2,8E-22	109	18
TIMD4	9,0E-04	----??-	4,1E-06	++++??+	3,5E-04	+---??-	cg00510689	-2,8	2,4E-03	42	0
FGL2	5,4E-07	+++++++	9,5E-40	+++++++	1,4E-17	+++++++	cg21254135	7,2	3,9E-13	25	3
PVRIG	8,5E-10	+-----+	3,9E-22	-------	1,3E-85	-++++++	cg03121834	-8,7	2,1E-18	235	18
GLT25D2	6,0E-03	-++++?+	4,1E-28	+++++?+	3,8E-10	+++++?+	cg27177158	5,4	2,7E-08	66	2
PADI4	3,7E-06	-++++?+	3,4E-55	-----?-	7,4E-17	+----?-	cg07100542	7,4	9,2E-14	140	13
NXT1	6,7E-10	-----+-	6,5E-32	-------	3,2E-13	+++++++	cg24165121	-6,2	3,0E-10	71	1
C7orf23	1,0E-11	-------	2,1E-07	-++++++	3,2E-05	-------	cg06824394	-3,2	5,9E-04	73	1
MYOF	1,9E-05	++-++++	7,4E-05	++-----	7,6E-31	-------	cg14428166	3,8	8,9E-05	144	1
CFLAR	1,8E-06	-++++-+	2,6E-64	-------	2,7E-06	+------	cg08267148	4,5	3,1E-06	102	1
DUSP5	6,5E-06	++-++++	4,8E-85	-------	3,2E-39	-------	cg03290131	10,9	7,0E-28	107	12
THEM6	4,2E-10	-------	6,5E-14	++-++++	1,8E-13	------+	cg06894628	-5,3	7,5E-08	198	3
S1PR5	5,3E-09	+++++-+	6,9E-49	+++++++	1,7E-215	+++++++	cg21494776	13,3	1,1E-40	312	42
CD97	4,5E-10	+++++++	5,4E-20	-------	8,7E-28	-------	cg25685510	7,0	1,1E-12	170	5
F13A1	6,2E-07	-+++++-	3,5E-22	--+----	5,8E-07	-------	cg06366374	4,4	4,4E-06	83	2
C1orf109	6,2E-04	-----?-	5,9E-57	-----?-	9,5E-09	+++++?-	cg13100137	-5,4	3,4E-08	204	1
PAQR4	2,2E-08	-++++++	5,2E-33	+++++++	1,6E-05	+++++++	cg26494929	4,1	2,4E-05	401	2
NACC2	4,6E-14	+++++++	3,1E-33	-------	1,3E-14	------+	cg08100069	6,5	4,4E-11	217	14
PLEKHB1	8,6E-03	+---++-	7,1E-24	-------	1,3E-26	+++++++	cg02201052	-7,3	1,2E-13	85	11
MRPS26	6,6E-07	-------	1,4E-10	-----+-	3,3E-23	+++++++	cg26130864	-5,4	3,6E-08	175	10
EEF1B2	1,2E-07	-------	9,3E-26	+++++++	5,1E-03	----+--	cg20241256	-2,7	3,5E-03	70	0
SRBD1	2,0E-03	++++-+-	1,9E-03	+------	1,3E-11	-------	cg25570222	2,8	2,4E-03	78	0
CXCR7	2,0E-04	+-----+	1,1E-13	-------	1,1E-04	-++++++	cg22393213	-3,4	2,9E-04	47	2
LCK	5,4E-04	---???-	1,1E-22	+++???+	1,3E-29	---???-	cg17223520	-7,4	6,6E-14	216	7
SEPHS1	8,9E-12	-------	2,8E-18	+----+-	3,1E-17	-++++++	cg01283625	-6,1	6,5E-10	109	3
CLEC2D	1,9E-12	-------	3,0E-14	-++++++	1,7E-30	+------	cg12810837	-6,3	1,2E-10	43	5
TPP2	2,1E-04	+--?---	1,3E-08	+-+?---	3,5E-04	-++?+++	cg07951201	-3,0	1,2E-03	88	0
APRT	8,1E-08	-------	3,2E-112	-------	6,3E-20	++++++-	cg02610723	-8,5	1,2E-17	471	32
SERPINB1	1,6E-05	+-+++++	3,0E-76	-------	4,7E-21	-------	cg01137047	8,4	2,4E-17	156	13
QSOX2	5,9E-11	-------	8,3E-36	-------	7,6E-10	+-+++++	cg13567403	-5,5	1,7E-08	251	9
SESTD1	4,5E-01	-++?--+	6,6E-05	++-?-+-	2,3E-10	---?---	cg01231381	3,4	3,7E-04	22	1
DIAPH1	2,0E-05	+++-+++	8,3E-32	-------	4,3E-13	-------	cg17016922	6,2	3,5E-10	358	10
RAB27A	4,2E-02	++++--+	1,3E-21	-------	2,7E-07	-+----+	cg10936230	4,5	3,0E-06	64	3
USP47	2,2E-03	-------	2,2E-15	-----+-	1,1E-13	+++++++	cg03821121	-5,4	3,0E-08	89	4
THOC1	1,9E-03	-------	2,4E-02	+-+---+	1,2E-01	++-++-+	cg12944017	-1,3	9,9E-02	37	0
RPAP2	1,5E-04	-----?-	1,9E-25	-----?-	6,5E-06	-++-+?-	cg07805029	-4,1	1,8E-05	97	3
MXRA7	4,3E-05	+++++++	9,1E-45	+++++++	1,4E-45	+++++++	cg20690125	10,0	1,0E-23	245	45
TRAPPC6A	1,5E-04	+----+-	5,2E-78	-------	7,1E-20	+++++++	cg01027411	-8,2	1,2E-16	227	7
EML4	4,4E-09	+------	1,1E-42	+++++++	6,3E-12	++-----	cg02679503	-6,1	4,0E-10	108	9
ZNF573	3,7E-07	-------	2,6E-06	-------	3,2E-03	++++-+-	cg14919260	-2,5	6,2E-03	90	0
HLTF	2,7E-04	-------	1,1E-22	-------	4,1E-10	--+++++	cg20215476	-5,3	6,8E-08	82	4
ZNF827	2,3E-03	++?----	7,9E-19	--?--+-	3,9E-11	++?-+++	cg07091220	-5,3	5,9E-08	78	5
CREB3L2	7,7E-03	++-++++	9,8E-25	--+----	7,9E-11	-------	cg02113214	5,5	2,0E-08	70	13
PLAUR	2,2E-09	+++++++	1,7E-06	++---+-	3,7E-28	---+---	cg25750408	4,4	5,7E-06	203	3
LAMP5	1,1E-03	--+----	1,2E-65	+++++++	3,6E-03	+--++--	cg17368808	-2,9	2,1E-03	22	1
MRPS31	7,5E-10	-------	2,8E-23	+++++++	1,8E-16	------+	cg18368845	-6,3	1,1E-10	81	4
TNFAIP8	1,4E-11	-------	3,6E-07	+----+-	4,0E-13	+++++++	cg01057573	-4,2	1,5E-05	64	1
ITGAL	8,2E-06	+++++++	6,9E-26	--+----	1,1E-77	-------	cg16519923	9,2	2,5E-20	292	26
LILRA5	5,5E-10	+++++++	2,0E-18	-----+-	1,6E-40	+--+---	cg21073459	7,3	1,3E-13	184	10
FKBP4	5,7E-05	-----++	2,0E-16	+------	2,4E-10	+++-+++	cg05824594	-5,0	2,6E-07	128	6
TBXAS1	5,6E-08	+++++-+	1,4E-33	-------	1,1E-25	+------	cg15812586	7,9	1,2E-15	119	8
ARHGAP19	1,0E-05	+++++++	1,8E-16	-------	6,3E-21	---+--+	cg12182708	6,2	3,0E-10	143	6
LYRM4	2,8E-03	+---++-	1,2E-40	-------	5,4E-09	+-+++++	cg11935248	-5,4	4,5E-08	86	2
CYFIP1	2,2E-09	+++++++	4,9E-07	+++++++	1,8E-06	-++++++	cg06099188	3,5	2,7E-04	110	2
DIRC2	1,9E-08	+++++++	5,6E-19	+++++++	1,0E-18	+++++++	cg02519879	6,3	1,8E-10	142	9
ABCC3	2,8E-04	-++++++	9,1E-17	+------	7,6E-11	-------	cg20807852	5,1	1,5E-07	258	2
IGHV5-78 	1,7E-05	----?++	2,3E-08	----?--	1,1E-05	++++?+-	cg07929646	-3,5	2,7E-04	10	2
BIN1	2,0E-09	+------	7,4E-29	-------	2,0E-42	+++++++	cg06021088	-8,6	3,0E-18	106	8
APOBEC3C	1,9E-04	+++++++	2,2E-53	-------	2,0E-14	-------	cg05007163	6,9	3,7E-12	102	12
AUTS2	7,1E-05	+-----+	1,9E-09	-------	9,1E-18	+++++++	cg00834988	-4,9	4,4E-07	97	4
ATP5L	1,0E-01	----+--	1,8E-14	-++++++	1,3E-04	+--+---	cg15880738	-3,4	3,0E-04	185	0
NDFIP1	7,8E-05	-------	1,2E-15	-------	9,1E-06	+++-++-	cg00060800	-3,9	5,2E-05	135	4
ITGAM	2,9E-02	+++-+++	8,5E-43	-------	1,2E-38	-------	cg04742550	9,4	2,0E-21	296	18
GYG1	3,9E-06	+++++++	4,2E-23	-------	4,5E-27	-------	cg20215476	7,3	1,5E-13	77	6
4,2E+04	1,9E-02	+--?-++	1,1E-28	---?---	1,6E-52	+++?+++	cg26843872	-9,0	1,4E-19	204	8
DPYSL2	6,8E-03	+-+++++	5,5E-36	-------	2,7E-04	-+-----	cg01862311	3,5	2,4E-04	110	1
RPL36	5,8E-06	+----+-	1,9E-50	-------	6,5E-20	+++++++	cg03551243	-7,8	3,3E-15	201	6
SALL2	8,7E-09	-------	1,3E-06	+----+-	1,5E-15	+++++++	cg12774429	-4,1	1,8E-05	97	1
CD5	5,7E-06	+----+-	1,5E-35	-----+-	4,8E-66	+++++++	cg21971799	-10,1	3,5E-24	190	24
EDARADD	2,4E-04	+++++?+	8,5E-232	-----?-	6,3E-08	-----?+	cg09809672	5,3	4,7E-08	106	5
ADAM17	1,5E-01	-++--++	9,1E-08	+----+-	5,2E-13	-------	cg25739938	4,3	8,8E-06	104	4
ZNF239	3,3E-08	------+	5,2E-10	-------	1,1E-07	+++++++	cg22992966	-4,0	2,7E-05	151	2
ORC5	4,9E-07	------+	1,8E-10	+++++++	5,6E-02	+----++	cg05488770	-1,8	3,4E-02	31	0
MRPS18B	2,4E-08	-----++	8,1E-79	-------	3,8E-20	+++++++	cg14753356	-8,3	7,3E-17	724	35
CCT7	6,3E-07	+----+-	8,5E-46	------+	3,5E-12	+++++++	cg18984211	-6,3	2,1E-10	130	5
C12orf65	1,3E-05	-----+-	3,3E-40	+++++++	1,4E-18	-------	cg01687878	-7,3	1,1E-13	154	15
MSH6	1,2E-05	-----+-	8,5E-10	+------	1,8E-05	+++++++	cg27024992	-3,5	2,2E-04	76	1
RNMT	4,8E-04	+------	3,5E-30	-------	2,1E-30	-++++++	cg06883868	-8,1	3,1E-16	59	8
ITM2A	4,8E-07	-?-----	3,2E-06	-?-+---	6,8E-04	-?+-++-	cg00072799	-2,8	3,0E-03	9	2
PPP1R3E	2,8E-07	-------	2,3E-70	-------	2,9E-28	+++++++	cg09834049	-9,4	3,9E-21	196	26
